id;subject_rf=='Курская область';name_full;name_short;name_employee;inn;orn;legal_address;actual_address;phone;email;site;count_mkd;area_total;w_summ
8917356;Курская область;Жилищно-строительный кооператив №69;ЖСК №69;Елена Ивановна Юкина;4630010990;1,03464E+12;г. Курск, ул. Дейнеки, д. 26, к. 14, стр. 0, п. 0;г. Курск, ул. Дейнеки, д. 26, к. 14, стр. 0, п. 0;89207008619;Shura.racha@list.ru;;1;2804,1;27
8935714;Курская область;Жилищно-строительный кооператив №77;ЖСК-77;Владимир Эдуардович Бочаров;4630014190;1,08463E+12;г. Курск, ул. Дейнеки, д. 40;г. Курск, ул. Дейнеки, д. 40;89036338968;zhsk77kursk@mail.ru;;1;4873,5;29
8935309;Курская область;Жилищно строительный кооператив №86;ЖСК 86;Олег Валентинович Смирнов;4630011111;1,0246E+12;г. Курск, ул. Малышева, д. 12;г. Курск, ул. Малышева, д. 12;89510881180;k456ma@bk.ru;;1;6043,7;28
8914796;Курская область;Жилищно-строительный кооператив № 87 Сеймского округа г. Курска;ЖСК №87;Наталья Анатольевна Гайдукова;4630015050;1,0246E+12;г. Курск, ул. Малышева, д. 8;г. Курск, ул. Малышева, д. 8;89513209307;zsk87@yandex.ru;;1;6042,3;29
8914956;Курская область;Жилищно-строительный кооператив № 9;ЖСК № 9;Надежда Петровна Костенко;4630012309;1,0246E+12;г. Курск, ул. Конорева, д. 12;г. Курск, ул. Конорева, д. 12;89513274852;formagkh@yandex.ru;;1;3494,8;21,5
8938749;Курская область;ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №95;ЖСК №95;Наталья Анатольевна Бровченко;4630013944;1,03464E+12;г. Курск, пр-кт. Кулакова, д. 3, п. 69;г. Курск, пр-кт. Кулакова, д. 3, п. 69;(4712)572447;zhsk95@yandex.ru;https://zhsk95.reformagkh.ru/about/228/overview;1;28577,8;30,5
8912965;Курская область;ЖСК-99;ЖСК-99;Вячеслав Степанович Потапенко;4630011714;1,03464E+12;г. Курск, ул. Серегина, д. 34;г. Курск, ул. Серегина, д. 34;8-906-575-70-63;gsk99_kursk@mail.ru;;1;;13
8201782;Курская область;ИП Карпушин Александр Иванович;ИП Карпушин А.И.;Александр Иванович Карпушин;4,615E+11;3,10462E+14;с. Паники, ул. Шелковская, д. 253;пгт. Медвенка, ул. Певнева, д. 2;8(47141)4-11-93;ipkarpushin@yandex.ru;IPKarpushin.narod2.ru;21;18215,4;28
8919450;Курская область;"Муниципальное автономное учреждение ""Марьинское жилищно-коммунальное хозяйство"" Рыльского района Курской области";"МАУ ""Марьинское ЖКХ""";Алексей Владимирович Лукиянов;4620014226;1,12462E+12;п. Марьино, ул. Сироткина, д. 5 А;п. Марьино, ул. Сироткина, д. 5 А;8(47152)7-76-00;gkhmarino@mail.ru;www.gkhmarino.ru;30;57621,1;45,5
8167128;Курская область;"Муниципальное унитарное предприятие ""Единый расчетный центр города Железногорск"" муниципального образования ""Город Железногорск"" Курской области";"МУП ""ЕРЦ""";Константин Борисович Денисов;4633017190;1,05468E+12;г. Железногорск, ул. 21 Партсъезда, д. 11;г. Железногорск, ул. 21 Партсъезда, д. 11;8 (47148) 24130;admin@mup-erc.ru;www.mup-erc.ru;14;11518,73;34,5
8802168;Курская область;"Муниципальное унитарное предприятие ""ЖКХ Уют"" Нижнемедведицкого сельсовета Курского района Курской области";"МУП ""ЖКХ Уют"" Нижнемедведицкого сельсовета Курского района Курской области";Евгений Игоревич Коций;4611012053;1,12461E+12;п. Касиновский, д. 21;п. Касиновский, д. 21;84712554193;yut7000@yandex.ru;www.nmedvedica.rkursk.ru;17;11620,1;32,5
8929220;Курская область;"МУП ""КТС"" Администрации Калиновского сельсовета Хомутовского района Курской области";"МУП ""КТС"" Администрации Калиновского сельсовета Хомутовского района Курской области";Константин  Михайлович Силаков;4626003774;1,06462E+12;с. Калиновка, ул. Ленина, д. 11;с. Калиновка, ул. Ленина, д. 11;84713724146;adm.kalinovka@mail.ru;;14;16331,8;24
8926754;Курская область;"Муниципальное унитарное предприятие ""Районное коммунальное хозяйство""";"МУП ""РКХ""";Татьяна Ивановна Маслова;4633037132;1,15463E+12;д. Студенок, ул. Советская, д. 2, к. б;д. Студенок, ул. Советская, д. 2, к. б;8-47148-5-66-63;muprkh@yandex.ru;http://muprkh.уксайт.рф/;31;71813,3;71,5
8934187;Курская область;"МУП ""УК Желенодорожная""";МУП УК Желенодорожная;Михаил Николаевич Потапов;4632212350;1,16463E+12;г. Курск, ул. Союзная, д. 63;г. Курск, ул. Союзная, д. 63;(4712) 34-19-86;yk.jd@mail.ru;ук-жд.рф;19;42828,78;36,5
8936775;Курская область;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СЕЙМСКАЯ""";"МУП ""УК ""СЕЙМСКАЯ""";Сергей Георгиевич Вялых;4632211571;1,16463E+12;г. Курск, ул. Обоянская, д. 15;г. Курск, ул. Обоянская, д. 15;(4712) 55-46-35;mup.uk.seimskay@yandex.ru;;1;1647,1;20
8933079;Курская область;"Муниципальное Унитарное Предприятие ""Управляющая компания ""Центральная""";"МУП ""УК ""Центральная""";Алексей Владимирович Пашнев;4632212173;1,16463E+12;г. Курск, ул. Почтовая, д. 13;г. Курск, ул. Почтовая, д. 13;8(4712)51 35 55;mup-uk-centralnaya@yandex.ru;;3;13956,5;31
8225950;Курская область;"ООО ""Городская комммунальная служба""";"Общество с ограниченной ответственностью ""Городская комммунальная служба""";Игорь Александрович Стреков;4620008590;1,08462E+12;г. Рыльск, ул. Ленина, д. 52, п. Второй этаж;г. Рыльск, ул. Ленина, д. 52, п. Второй этаж;84715222697;murad.sabirovich@mail.ru;https://komunal.jimdo.com/;90;59868,1;32
8917758;Курская область;"Общество с ограниченной ответственностью ""Аврора+""";"ООО ""Аврора+""";Андрей Юрьевич Конорев;4632190392;1,14463E+12;г. Курск, ул. Цюрупы, д. 3, п. офис 1;г. Курск, ул. Ухтомского, д. 7, п. офис 3;306-008;ukavroraplus@yandex.ru;www.ук-аврора.рф;109;348648,34;34
8140428;Курская область;"Общество с ограниченной ответственностью ""Аргумент""";"ООО ""Аргумент""";Юрий Васильевич Шкурков;4634010158;1,08461E+12;г. Курчатов, ул. Набережная, д. 4;г. Курчатов, ул. Набережная, д. 4;(47131)4-26-43;blgorod@rambler.ru;www.blgorod1.ru;31;312026,46;84,5
8934732;Курская область;"Общество с ограниченной ответственностью ""АТОМГРАД""";"ООО ""АТОМГРАД""";Юрий Васильевич Шкурков;4634012405;1,16463E+12;г. Курчатов, пр-кт. Коммунистический, д. 21, п. 16;г. Курчатов, пр-кт. Коммунистический, д. 21, п. 16;89510837056;uk-atomgrad@rambler.ru;www.uk-atomgrad.ru;4;46055,6;29,5
8140407;Курская область;"Общество с ограниченной ответственностью ""Благоустроенный город""";"ООО ""Благоустроенный город""";Юрий Васильевич Шкурков;4634009970;1,08461E+12;г. Курчатов, ул. Садовая, д. 13А;г. Курчатов, ул. Садовая, д. 13А;(47131)4-26-43;blgorod@rambler.ru;www.blgorod.ru;28;241838,14;87
8923889;Курская область;"общество с ограниченной ответственностью ""Газсервис""";"ООО ""Газсервис""";Игорь Алексеевич Умрихин;4630023131;1,0246E+12;г. Курск, ул. Энгельса, д. 171, к. А, п. 210;г. Курск, ул. Энгельса, д. 171, к. А, п. 210;8(4712)39-69-86;gs.kursk@yandex.ru;www.курскгазопровод.рф/uk;2;793;21
8744742;Курская область;"ООО ""Городская Управляющая Компания №1""";"ООО ""Городская Управляющая Компания №1""";Александр Евгеньевич Лытнев;4632165364;1,12463E+12;г. Курск, ул. Станционная, д. 35;г. Курск, ул. Станционная, д. 35;(4712) 51-04-16  (4712) 77-03-95;ski146@yandex.ru;гук-1.рф;113;457339,83;36,5
8181391;Курская область;"Общество с ограниченной ответственностью ""Городская Управляющая Компания №2""";"ООО ""Городская Управляющая Компания №2""";Александр Евгеньевич Лытнев;4632160077;1,11463E+12;г. Курск, ул. Сумская, д. 43А;г. Курск, ул. Сумская, д. 43А;(4712) 330517;GUK-II@mail.ru;www.guk-2.uk46.ru;131;487985,92;38
8921372;Курская область;"ООО ""Городская Управляющая Компания №2"" (4632198440)";"ООО ""ГУК №2"" (4632198440)";Александр Евгеньевич Лытнев;4632198440;1,14463E+12;г. Курск, ул. Сумская, д. 43, стр. А;г. Курск, ул. Сумская, д. 43, стр. А;33-05-17;UK-GUK-2@yandex.ru;www.гук2курск.рф;18;175737,21;34,5
8938690;Курская область;"Общество с ограниченной ответственностью ""Единство плюс""";"ООО ""Единство плюс""";Сергей Михайлович Дунаев;4611014910;1,17463E+12;п. Камыши, д. 4, п. 14;п. Камыши, д. 4, п. 14;89107308698;edinstvo.plus@bk.ru;;10;18512,29;27,5
7652431;Курская область;"Общество с ограниченной ответственностью ""Жилищник""";"ООО ""Жилищник""";Евгений Алексеевич Безбабных;4610006709;1,07462E+12;пгт. Коренево, ул. им Крупской, д. 109, к. А;пгт. Коренево, ул. им Крупской, д. 109, к. А;(47147) 2-16-47;zilicthnik@mail.ru;http://ооо-жилищник.рф/;30;29460,2;38,5
8192475;Курская область;"Общество с ограниченной ответственностью ""ЖилКомСервис""";"ООО""ЖилКомСервис""";Людмила Борисовна Чаплыгина;4625004849;1,0546E+12;г. Фатеж, ул. Советская, д. 19;г. Фатеж, ул. Советская, д. 19;89081253727;GilKomServisF@yandex.ru;http://fatzhilkomservi.ucoz.ru;22;39402,5;49,5
8246759;Курская область;"ООО ""Жилкомсервис п.Возы""";"ООО ""Жилкомсервис п.Возы""";Сергей Александрович Дородных;4618003996;1,10461E+12;п. Возы, ул. Советская, д. 7;п. Возы, ул. Советская, д. 7;8471-35-3-42-14;gilkomservisvozi@mail.ru;;18;16622,12;35,5
8096225;Курская область;Общество с ограниченной ответственностью «Жилремсервис-1»;"ООО ""Жилремсервис-1""";Юрий Анатольевич Сотников;4634011088;1,11461E+12;г. Курчатов, ул. Энергетиков, д. 7, п. 706;г. Курчатов, ул. Энергетиков, д. 18, п. офис 1;(47131)4-65-31;OOOGRS01@gmail.com;kurchatov.info;6;46465,47;70
8287191;Курская область;Общество с ограниченной ответственностью Жилсервис;"ООО ""Жилсервис""";Александр Анатольевич Доценко;4632067511;1,06463E+12;г. Курск, ул. Дзержинского, д. 9 А, п. 12;г. Курск, пр-кт. Дружбы, д. 19Б;39-07-25;gilservis.g@yandex.ru;http://zhilservis.uk46.ru/;7;114951,39;46
8937510;Курская область;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ЖИЛСЕРВИС ЗЖБИ - 3 """;"ООО "" ЖИЛСЕРВИС ЗЖБИ - 3 """;Павел Николаевич Бутаков;4633039010;1,17463E+12;г. Железногорск, тер. Промплощадка-2, д. 1;г. Железногорск, ул. Ленина, д. 77;7 - 77 - 71  7 - 77- 67;ZhilservisZJBI3@mail.ru;http://жилсервисзжби3.уксайт.рф;3;27222,2;32
7726038;Курская область;"Общество с ограниченной ответственной ""Жилсервис Сейм""";"ООО ""Жилсервис Сейм""";Сергей Валерьевич Грищенко ;4632094931;1,08463E+12;г. Курск, ул. Серегина, д. 22;г. Курск, ул. Серегина, д. 15;55-46-35;zhilservis-seim@mail.ru;www.ukseim.ru;3;543,24;25,5
6953900;Курская область;"Общество с ограниченной ответственностью ""Жилсервис""Центр""";"ООО ""Жилсервис""Центр""";Андрей Вячеславович Холодов;4632094755;1,08463E+12;г. Курск, ул. Александра Невского, д. 23;г. Курск, ул. Александра Невского, д. 23;(4712) 51-30-91;zhilservis-centr@rambler.ru;www.zsc46.ru;81;18504,39;29
8930657;Курская область;"Общество с ограниченной ответственностью ""ЖилЦентр""";"ООО ""ЖилЦентр""";Дмитрий Константинович Раковский;4633037735;1,15463E+12;г. Железногорск, ул. Мира, д. 56;г. Железногорск, ул. Димитрова, д. 19;8(47148)3-40-30;zhilcentr-zhel@yandex.ru;www.zhylcentr.ru;4;19484,06;31
8137008;Курская область;"Общество с ограниченной ответственностью ""ЖКХ п.Прямицыно""";"ООО ""ЖКХ п.Прямицыно""";Владимир Алексеевич Пехов;4617005180;1,07461E+12;пгт. Прямицыно, ул. Коммунистическая, д. 73;пгт. Прямицыно, ул. Коммунистическая, д. 73;8(47142) 21152;GilKomHoz46@rambler.ru;pryamicino.rkursk/ru;16;22793,84;36
8177759;Курская область;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО СЕЛА МАНТУРОВО""";"ООО ""ЖКХ с.Мантурово""";Владимир Николаевич Черенков;4614004050;1,08461E+12;с. Мантурово, ул. Коммунистическая, д. 4;с. Мантурово, ул. Коммунистическая, д. 4;8(47155)2-12-30;mantzkh@yandex.ru;http://manturovo.i-gkh.ru;5;5480,4;75
7822462;Курская область;"Общество с ограниченной ответственностью ""Жилищно-коммунальное хозяйство села Сейм""";"ООО ""ЖКХ с.Сейм""";Сергей Николаевич Курлов;4614004043;1,08461E+12;с. Сейм, ул. Заводская, д. 7а;с. Сейм, ул. Заводская, д. 7а;8(47155)51535;ooogkhseim@mail.ru;http://man.rkursk.ru;24;34756,41;37
8921874;Курская область;"Общество с ограниченной ответственностью ""Жилищно-строительный кооператив №146""";"ООО ""ЖСК №146""";Дмитрий Юрьевич Маслов;4632184166;1,13463E+12;г. Курск, ул. Майский бульвар, д. 8, п. 93;г. Курск, ул. Майский бульвар, д. 8, п. первый подьезд;(4712)25-15-94. 89192119222;ooogsk146@mail.ru;ооожск146.рф;19;141548,42;32,5
8162859;Курская область;"Общество с ограниченной ответственностью ""Жилищно-эксплуатационный учаcток №2""";ООО ЖЭУ №2;Сергей Васильевич Аксенов;4634009924;1,08461E+12;г. Курчатов, ул. Ленинградская, д. 1;г. Курчатов, ул. Ленинградская, д. 1;8(47131)42875;ooogeu2@yandex.ru;geu2.ucoz.org;29;140235,4;85
7713212;Курская область;"Общество с ограниченной ответственностью ""ЖЭУ Волокно""";"ООО ""ЖЭУ Волокно""";Виктор Васильевич Акиншин;4632153591;1,11463E+12;г. Курск, ул. Менделеева, д. 47, п. офис 22;г. Курск, ул. Менделеева, д. 47, п. офис 22;8(4712)24-01-65  8(4712)24-03-22;zheu-volokno@mail.ru;http://zheu-volokno.ru/;88;369428,57;49
8918972;Курская область;"Общество с ограниченной ответственностью ""Жилищно-эксплуатационный участок г.Льгова""";"ООО ""ЖЭУ г.Льгова""";Светлана Владимировна Моргунова;4613012429;1,13461E+12;г. Льгов, ул. Комсомольская, д. 61а;г. Льгов, ул. Комсомольская, д. 61а;8(47140)2-17-44;jeyooo@rambler.ru;jeulgov.ucoz.ru;19;89019,3;68,5
8940269;Курская область;"Общество с ограниченной ответственностью ""КУРСКДОМСЕРВИС""";"ООО ""КДС""";Сергей Александрович Червяков ;4632236488;1,17463E+12;г. Курск, пер. Степной 1-й, д. 19;г. Курск, ул. Менделеева, д. 18А;8-950-871-45-42;kds-kyrsk@mail.ru;;4;14108;33
8407194;Курская область;"Общество с ограниченной ответственностью ""Коммунальная служба+""";"ООО ""Коммунальная служба+""";Татьяна Ивановна Маслова;4633033219;1,11463E+12;сл. Михайловка, пл. Петровская, д. 3;п. Магнитный, ул. Железнодорожная, д. 1;8-47148-7-27-45;komsluzhba-m@yandex.ru;;11;14409;25,5
8940050;Курская область;"Общество с ограниченной ответственностью ""Коммунальный центр""";"ООО ""Коммунальный центр""";Ирина  Александровна Дмитриева ;4632228173;1,17463E+12;г. Курск, ул. Чехова, д. 8А, п. 17;г. Курск, ул. Чехова, д. 8А, п. 17;8-4712-51-35-5;uk-komcentr@yandex.ru;;1;6062,6;23
8918487;Курская область;"Общество с ограниченной ответственностью ""Коммунальщик""";"ООО ""Коммунальщик""";Сергей Васильевич Чебанов;4633019359;1,06463E+12;сл. Михайловка, пл. Петровская, д. 3;п. Тепличный, ул. Лесная, д. -;84714875646;kommunalshik046@mail.ru;http://www.kommunalshik.mу1.ru;6;17970;31
8196086;Курская область;"Общество с ограниченной ответственностью ""Кочинов и К""";"ООО ""Кочинов и К""";Владлена Владимировна Пономарева;4632037651;1,03464E+12;г. Курск, ул. Белинского, д. 4, п. офис 53;г. Курск, ул. Белинского, д. 4, п. офис 53;52-16-08;uk-kochinov@yandex.ru;kochinov.ru;2;5806;25
8936527;Курская область;"Общество с ограниченной ответственностью ""Кристалл""";"ООО ""Кристалл""";Александр Михайлович Кузьмин;4634009138;1,06461E+12;г. Курчатов, ул. Гайдара, д. 8, п. 94;г. Курчатов, ул. Гайдара, д. 8, п. 94;89 513 134 325;aleksandr_kuzmin_56@list.ru;;4;19969,8;25
8913441;Курская область;"Общество с ограниченной ответственностью ""Курская управляющая домовая компания""";"ООО ""Курская управляющая домовая компания""";Виктория Викторовна Дворцова;4632166720;1,12463E+12;г. Курск, пр-кт. Вячеслава Клыкова, д. 54, п. 207;г. Курск, пр-кт. Дружбы, д. 4-Б, п. 2 этаж,;4712-227-237;;http://kudk.umi.ru/;15;80825,77;34
7865500;Курская область;"ООО ""Курск - Жилсервис""";"ООО ""Курск - Жилсервис""";Владимир Дмитриевич Ерохин;4632055668;1,05464E+12;г. Курск, пр-кт. Хрущева, д. 28, п. 103;г. Курск, пр-кт. Хрущева, д. 28, п. 103;394477;ooo.tsgkurskgilservis@mail.ru;www.ukkur.ru;7;46174,32;37,5
8929346;Курская область;"Общество с ограниченной отвественностью ""Курский Двор""";"ООО ""Курский Двор""";Игорь Васильевич Морозов;4632208508;1,15463E+12;г. Курск, пер. Элеваторный, д. 2;г. Курск, пер. Элеваторный, д. 2;+7 (4712) 55-95-07  55-95-06;kurskdvor@yandex.ru;http://www.kurskiydvor.org;170;141337,95;53
8916608;Курская область;"Общество с ограниченной ответственностью ""КУРЧАТОВ ПАРК""";"ООО ""КУРЧАТОВ ПАРК""";Валерий Николаевич Демин;4634011970;1,14461E+12;г. Курчатов, ул. Энергетиков, д. 4, п. 109;г. Курчатов, ул. Строителей, д. 7, стр. А;4-73-14;K.Park-2014@yandex.ru;uk-kurchatov.ru;25;160927,47;33,5
8232366;Курская область;"Общество с ограниченной ответственностью ЛюксИнвест""";ООО ЛюксИнвест;Лариса Владимировна Холявская;4632101064;1,08463E+12;г. Курск, ул. Володарского, д. 70, п. 6;г. Курск, ул. Володарского, д. 70, п. 6;(4712)74-00-71;luxinvest46@yandex.ru;luxinvest46.ru;14;135360,9;36
8937871;Курская область;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГНИТНЫЙ""";"ООО ""МАГНИТНЫЙ""";АНДРЕЙ  ПАВЛОВИЧ БОРЧУКОВ ;4633039130;1,17463E+12;п. Магнитный, ул. Железнодорожная, д. 1, п. 2;п. Магнитный, ул. Железнодорожная, д. 1, п. 2;79045277408;magnitny46@mail.ru;magnitny46@mail.ru;5;12562,1;27,5
8920765;Курская область;"ООО ""Наш дом""";"ООО ""Наш дом""";Александр Георгиевич Дудников;4633019905;1,07463E+12;г. Железногорск, ул. Димитрова, д. 22;г. Железногорск, ул. Димитрова, д. 22;8-47148-5-38-98;nd.elena@yandex.ru;www.nashdom-uk.ru;2;32951,9;34,5
8922677;Курская область;"Общество с ограниченной ответственностью ""Наше жильё""";"ООО ""Наше жильё""";Елена Вениаминовна Белая;4632188019;1,14463E+12;г. Курск, ул. Парижской Коммуны, д. 71, п. 61;г. Курск, ул. Союзная, д. 10А;34-02-12;ELENA1961-1961@yandex.ru;наше-жильё46.рф;2;9481,1;31
8074215;Курская область;"ООО ""НИАГАРА +""";"ООО ""НИАГАРА+""";Андрей Геннадьевич Бельдей;4607005286;1,08461E+12;м. Свобода, ул. Почтовая, д. 40;м. Свобода, ул. Почтовая, д. 40;8(47151)41456;plus.niagara@yandex.ru;niagaraplus.ru;13;14226,8;26
8167726;Курская область;"Общество с ограниченной ответственностью : ""Новоандросовское жилищно-коммунальное хозяйство""";"ООО ""Новоандросовское ЖКХ""";Александр Васильевич Митяев;4633019609;1,07463E+12;п. Новоандросово, ул. Советская, д. 1;п. Новоандросово, ул. Советская, д. 1;8(47148)78-3-10;Nagkh@yandekx.ru;нет;3;3737;28,5
8131925;Курская область;"ООО ""Независимая Управляющая Компания""";"ООО ""НУК""";Михаил Григорьевич Смолин;4633032960;1,11463E+12;г. Железногорск, пер. Больничный, д. 2;г. Железногорск, ул. Рокоссовского, д. 7, к. Б;8(47148)7-76-16;uk-nuk46@yandex.ru;www.uk-nuk.ru;16;70440,35;35,5
8928697;Курская область;"Общество с ограниченной ответственностью "" Первая городская управляющая компания""";"ООО ""Первая городская управляющая компания""";Леонид Сергеевич Артамонов;4632127231;1,10463E+12;г. Курск, ул. Гаражная, д. 1;г. Курск, ул. Гаражная, д. 1;74-00-34, 8-910-219-68-03;ooopguk@mail.ru;pguk46.ru;3;8132,8;74
8931818;Курская область;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""";"ООО ""ПЕРСПЕКТИВА""";Виктор Степанович Кравцов;4632198169;1,14463E+12;г. Курск, ул. 50 лет Октября, д. 100А, п. 4;г. Курск, ул. 50 лет Октября, д. 100А, п. 4;+7 (4712) 74-03-10, +7 (4712) 74-03-11;perspektiva-kursk46@yandex.ru;kursk-perspektiva.ru;7;78544,94;37
8928191;Курская область;"Общество с ограниченной ответственностью ""Созвездие""";"ООО ""Созвездие""";Александр Александрович Толмачев;4632196161;1,14463E+12;г. Курск, ул. Семеновская, д. 74, п. офис 1;г. Курск, ул. 50 лет Октября, д. 100, п. офис 7;8-4712-55-15-89;sozvezdie46@yandex.ru;www.sozvezdie46kursk.ru;20;88900,4;32
8922324;Курская область;Общество с Ограниченной ответственностью «Спецстрой Курск»;ООО «Спецстрой Курск»;Эдуард Викторович Кошелев;4632134165;1,14463E+12;г. Курск, ул. Литовская, д. 93;г. Курск, пер. Малиновый 2-й, д. 5;4712330110;specstroykursk@mail.ru;спецстройкурск.рф;24;40148,8;27,5
8940507;Курская область;"Общество с ограниченной ответственностью ""Стриж""";"ООО ""Стриж""";Оксана Дмитриевна Стрижкова;4632240773;1,18463E+12;г. Курск, ул. Студенческая, д. 20, п. офис 1;г. Курск, ул. Студенческая, д. 20, п. офис 1;8(4712)51-90-74;ksenia_strizh@mail.ru;;2;17620,9;27
8430932;Курская область;"Общество с ограниченной ответственностью ""СтройИнжСервис""";"ООО ""СтройИнжСервис""";Николай Викторович Музыченко;4611011726;1,11461E+12;г. Курск, ул. Республиканская, д. 1Б, п. 304;д. Щетинка, снт. Химфарм, д. 6В;8(4712)360318;343008@mail.ru;www.strinsrv.ru;1;2551,7;20,5
